(eemale, ära) ajama	гнать
karahvin	графин
karate	карате
karatist	каратист
kärbes	муха
kärbseseen	мухомор
karburaator	карбюратор
kardinal	кардинал
kardioloog	кардиолог
kargud	костыли
kari	стадо
karikakar	ромашка
karikas	кубок
karikatuur	карикатура
kariloomad	скот
karistama	наказать
karistama	наказывать
karistama	штрафовать (спорт)
karistus	наказание
karistusmeetmed	штрафные санкции
karjäär	карьера
karjääri tegema	продвигаться (о работе)
karjamaa	пастбище
karjamaal olema	пастись
karjatama	пасти (скот)
karje	крик
karjuma	кричать
karjuma hakkama	закричать
karjus	пастух
kärnkonn	жаба
karp	коробка
kärp	горностай
Karpaadid	Карпаты
karpkala	карп
kartlik	робкий
kartlikkus	робость
kartma	бояться
kartmatu	бесстрашный
kartul	картофель
kartulipüree	картофельное пюре
karu	медведь
käru	тележка для клюшек
karukoobas	берлога
karupoeg	медвежонок
karus nahkne	меховой
karusmari	крыжовник
karusnahk	мех
karvad	шерсть (животного)
Kas tõesti?	Неужели?
kasahh	казах
kasahhi	казахский
kasahhitar	казашка
Kasahstan	Казахстан
kasepuravik	подберёзовик
käsi	рука
käsi	рука (вся)
käsi raudu panema	надеть наручники
kasiino	казино
käsikiri	рукопись
käsipakid	ручная кладь
käsipuu	перила
käsipuu	поручень
käsitsi	вручную
kask	берёза
käsk	заповедь
käsk	команда (приказ)
käsk	приказ
kaskadöör	каскадёр
käskima	приказать
käskima	приказывать
käskjalg	курьер
kass	кот
kass	кошка
kassa	касса (в магазине)
kassatšekk	чек (кассовый)
kassett	кассета
kassiir	кассир
kassipoeg	котёнок
kast	ящик
kastan	каштан
kaste	соус
kastekann	лейка
kastma	поливать
kastmine	полив
kasu	выгода
kasu	польза
kasu	польза (полезность)
kasukas	шуба
kasulik	ВЫГОДНЫЙ
kasum	прибыль
kasumiga	прибыльный
kasutatud	бывший в употреблении
kasutatud	подержанный
kasv	рост
kasv	рост (процесс)
kasvaja	опухоль (внутренняя)
kasvama	расти
kasvandus	питомник
kasvatama	растить(растения)
kasvatus	воспитание
kasvuhoone	оранжерея
kasvuhoone	парник
katafalk	катафалк
kataloog	каталог
kataloog	папка (комп.)
katarakt	катаракта
katastroof	катастрофа
katastroof	катастрофа (перен.)
katedraal	собор
kategooria	категория
käterätik	полотенце
katk	чума
katke	обрыв (провода)
katkematu	непрерывный
katkend	отрывок
katkestama	прекращать
katkestama	прекращать (отношения)
katki minema	порвать (испортить)
katki minema	разорваться (о верёвке)
katoliiklane	католик
katoliiklik	католический
katoliiklus	Католицизм
katse	контроль (испытания)
katse	опыт (химический ~)
katse	попытка
kätte maksma	мстить
kätte maksma	отплатить (отомстить)
kätte saama	получить
kättemaks	месть
kattematerjal	обивка
katus	крыша
kaua	долго
kauakestev	продолжительный
kaubamärk	торговая марка
kaubanduskeskus	торговый центр
kaubandusnäitus	торговая выставка
kaubareisija	коммерсант
kauboi	ковбой
kauge	далёкий
kauge	дальний
kauge	дальний (отдалённый)
kaugekõne	междугородний
kaugel	далеко
kaugelt sugulane	дальний родственник
kaugenägelik	дальнозоркий
Kaug-lda	Дальний Восток
kaugtuled	дальний свет
kaugushüpe	прыжки в длину
Kaukasus	Кавказ
kaunid kunstid	изящные искусства
kaup	товар
kauplema	торговать
kauplus	магазин
kaval	хитрый
kavalus	хитрость
kavatsema	намереваться
kavatsus	намерение
keedetud	варёный
keedetud	кипячёный
keegi	кто-нибудь
keegi	кто-то
keel	струна
keel	язык
keel	язык (напр. русский)
keel (elund)	язык
keel (suhtlus)	язык
keelama	запретить
keelama	запрещать
keelatud	запрещённый
keelduma	отказываться
keeldumine	отказ
keema	кипеть
keemia	ХИМИЯ
keemiarelv	химическое оружие
keemik	химик
keemiline puhastus	химчистка
Keenia	Кения
keerlema	вращаться
keerlema	кружить (о птице)
keeruline	сложный
keeruline	сложный (вопрос и т.п.)
keetma	варить (готовить)
keetma	кипятить
keevitaja	сварщик
keha	тело
kelder	погреб
kell	звонок
kella kaheteistkümneks	к 12-ти часам
kella lööma	звонить (о колоколах)
kellanupp	кнопка (звонка)
kellarihm	браслет (на часах)
kellarihm	ремешок
kellassepp	часовщик
kellatorn	колокольня
Kelle?	Чей?
Kellega?	С кем?
kellegi oma	чей-нибудь
Kellele?	Кому?
Kellest?	О ком?
kellukas	колокольчик
kelner	официант
kepp	палочка (дирижёрская)
kera	шар (геометр.)
keraamika	керамика
keraamiline	керамический
kerge	лёгкий (о грузе)
kerge (kaalult)	лёгкий
kerge (mitte keeruline)	нетрудный
kergejõustik	лёгкая атлетика
kergekaal	легкий вес
kergelt haavama	повредить (поранить)
kergetööstus	лёгкая промышленность
kerjus	нищий (бродяга)
kerjuslik	нищий
kes	кто
Kes?	Кто?
kesk-	центральный
keskaegne	средневековый
keskel	посередине
keskel	среди
keskkaal	средний вес
keskkoht	середина
kesklinn	центр города
kesköö	полночь
keskpäev	полдень
keskpunkt	центр
ketser	еретик
ketserlus	ересь
ketsid	кеды
kett	цепь
kevad	весна
kevadel	весной
kevadine	весенний
khaan	хан
kibe	горький
kibuvits	шиповник
kihulane	мошка
kihv	клык
kii	кий
Kiiev	Киев
kiik	качели
kiil	стрекоза
kiilas	ЛЫСЫЙ
kiilasjää	гололёд
kiilaspea	лысина
kiin	овод
kiirabi	скорая помощь
kiire	быстрый
kiire	срочный
kiiresti	быстро
kiiresti	срочно
kiirtee	автомагистраль
kiirus	быстрота
kiirus	скорость
kiirust ületama	превысить скорость
kiirustama	торопить
kiirustama	торопить (кого-л.)
kiirustama	торопиться
kiitlema	хвастаться
kiitma	похвалить
kiitus	похвала
kiiver	каска
kiiver	шлем
kiivi	киви
kikerikii	кукареку
kikilips	галстук-бабочка
kild	осколок
kilekott	пакет (мешок)
Kilimandžaaro	Килиманджаро
kilogramm	килограмм
kilomeeter	километр
kilp	колпак (на колесе)
kilp	ЩИТ
kilpkonn	черепаха
kindad	перчатки
kindalaegas	отделение для перчаток
kindlus	крепость
kindlusemüür	стена (крепостная)
kindlustama	страховать
kindlustama	укреплять (положение)
kindlustus	страховка
kindral	генерал
kingad	туфли
kingakreem	крем для обуви
kingalusikas	рожок (для обуви)
kingapael	шнурок
kingapaelu siduma	шнуровать (ботинки)
kingapood	обувной магазин
kingitus	подарок
kingsepp	сапожник
kinni jääma	застрять
kinni keerama	закручивать
kinni külmuma	замёрзнуть
kinni olema	быть закрытым
kinni panema	закрывать
kinni pidama	задержать
kinni suruma	зажимать
kinni võtma	поймать (преступника)
kinnine	закрытый
kinnis	застёжка
kinnitama	подтвердить
kinnitama	утверждать (настаивать)
kinnitus	подтверждение
kinnivõtmine	поимка
kino	кино (вид искусства)
kino	кино, фильм
kino	кинотеатр
kinokaamera	кинокамера
kips	гипс
kipsist	из гипса
kirema	кукарекать
kirgiis	киргиз
kirgiis itar	киргизка
kirgiisi	киргизский
kiri	письмо
kiri	шрифт
kirik	церковь
kirik	Церковь (организация)
kirikukell	КОЛОКОЛ
kirja panema	записаться (на курсы)
kirjaklamber	скрепка
kirjalik hoiatus	предупреждающая надпись
kirjand	сочинение
kirjandus	литература
kirjanik	писатель
kirjastaja	издатель
kirjastus	издательство
kirjavahetus	переписка
kirjavahetuses olema	переписываться
kirjeldama	описать(обрисовать)
kirjeldus	описание
kirjutama	написать (книгу)
kirjutama	писать
kirjutama	писать (письмо и т.п.)
kirjutusmasin	машинка (пишущая)
kirp	блоха
kirsipunane	вишнёвый
kirsipuu	вишня
kirss	вишня
kirst	гроб
kirurg	хирург
kirves	топор
kiskja	ХИЩНИК
kitarr	гитара
kitarrist	гитарист
kits	коза
kitsas	узкий
kitsetall	козлёнок
kitsi	скупой
kittel	халат (врача)
kivi	камень
kiviaeg	Каменный Век
kivikirves	каменный топор
kivipuravik	белый гриб
kivist	каменный
klaas	стакан
klaas	стекло
klaas-	стеклянный
klaas itõstja	стеклоподъёмник
klaasipuhasti	щетки стеклоочистителя
klade	блокнот
klahv	клавиша
klapp	клапан
klapplaud	откидной столик
klarnet	кларнет
klass	класс
klassikaaslane	одноклассник
klaver	пианино
klaviatuur	клавиатура
kleepima	приклеивать
kleeplint	лента-скотч
kleit	платье
klemm	клемма
kloun	клоун
koaala	коала
kõbla	тяпка
kobra	кобра
kobras	бобр
kod ustama	приручать (животных)
koda	ракушка
kodakondsus	гражданство
kodanik	гражданин
kodu-	родной (о стране)
kodukino	домашний кинотеатр
kodukolle	домашний очаг
kodulinnud	домашняя птица
koduloomad	домашние животные
kodumaa	родина
kodune ülesanne	домашнее задание
kodusõda	гражданская война
kodustatud	ручной (о животных)
koer	собака
koer	собака, пёс
kogemus	опыт (знания)
kogenematu	неопытный
kogu aasta	весь год
koguduse liikmed	прихожане
koguma	коллекционировать
köha	кашель
kohakala	судак
kohal	над (наверху)
kohal olema	присутствовать
kohale sõitma	приехать
kohalik kõne	местный (звонок)
kohanema	приспосабливаться
kohe	немедленно
kõhetu	тощий
köhima	кашлять
kõhklev	нерешительный
kõhn	худой
koht	место
kõht	живот
kohta	о (говорить о ...)
kohtamine	свидание
kohtualune	подсудимый
kohtuasi	дело (уголовное)
kohtuma	встретиться
kohtuma	встречаться
kohtumine	встреча
kohtumõistmine	правосудие
kohtunik	судья
kohtuotsus	приговор
kohtupink	скамья подсудимых
kõhukinnisus	запор
kõhulahtisti	слабительное
kõhulahtisus	диарея
kõhulahtisus	расстройство желудка
kohus	суд (место)
kohustus	обязанность
kohustus	обязательство
kohustuslik	обязательный
kohustuste ring	круг обязанностей
kohut mõistma	судить (о судьях)
kohver	чемодан
kohvik	кофейня
kohvikann	кофейник
kohvikeetja	кофеварка
kohvituba	кофейня
kohviveski	кофемолка
koi	моль
köide	переплёт
köide	том
köide	том (издания)
kõige tähtsam	самый важный
Kõigevägevam	Всемогущий
kõik	все (все люди)
koiott	койот
köis	канат
koit	рассвет
kokk	кок
kokk	повар
kokkerspanjel	кокер-спаниель
kokku kukkuma	рухнуть
kokku langema	обвалиться
kokku varisema	обрушиться
kokkulangevus	совпадение
kokkulepe	соглашение
kokkuvõte	вывод (заключение)
kokkuvõtet tegema	делать заключение
kokutama	заикаться
kolb	поршень
kõlblik	пригодный
kole	страшный (рассказ)
koletis	чудовище
koletsüstiit	холецистит
kollane	жёлтый
Kollane meri	Желтое море
kollatõbi	желтуха
kolleeg	коллега
kollektsionäär	коллекционер
kollektsioon	коллекция
kolm	три
kolm tärni	3 звезды
kolmandaks	в-третьих
kolmapäev	среда
kolmas	третий
kolmas koht	третье место
kolmkümmend	тридцать
kolmnurk	треугольник
kolmnurkne	треугольный
kolmpunkt	многоточие
kolmteist	тринадцать
kolmveerand	без четверти
kolonel	полковник
koloonia	колония
kolumbia	колумбийский
Kolumbia	Колумбия
kolumbialane	колумбиец
kolumbialanna	колумбийка
koma	запятая
komandör	командир
kombain	комбайн
kombetalitus	ритуал
kombinatsioon	комбинация
kombinesoon	комбинезон
komeet	комета
komisjon	комиссия
komitee	комитет
komm	конфета
komme	обычай
kommentaator	комментатор
kommenteerima	комментировать
kommunism	коммунизм
kommunist	коммунист
kommunistlik	коммунистический
komöödiafilm	кинокомедия
kompanii	компания
kompass	компас
kompensatsioon	компенсация
kompliment	комплимент
kompressor	компрессор
kondenspiim	сгущённое молоко
kondiitripood	кондитерская
kondiitritooted	кондитерские изделия
konditsioneer	кондиционер
kondor	кондор
kõne	речь (выступление)
kõnekäänd	поговорка
kõnelema, rääkima	говорить
konfiskeerima	конфисковать
konflikt	конфликт
Kongo	Конго
kongress	конгресс
koni	окурок
konkureerima	конкурировать
konkurent	конкурент
konkurents	конкуренция
konkurss	конкурс
konn	лягушка
konnapoeg	лягушонок
kõnnitee	тротуар
konservaator	консерватор
konservatiivne	консервативный
konserviavaja	открывалка (для консервов)
konservid	консервы
konspiratsioon	конспирация
konstitutsioon	конституция
konsul	консул
konsultant	консультант
kontakt	контакт
konteiner	контейнер
kontor	офис
kontrabass	контрабас
kontraht	контракт
kontrahti rikkuma	нарушить контракт
kontrollima	контролировать
kontrollima	проверить
kontrollima	проверять
kontrollimine	проверка
kontrollpakk	контрольный пакет
kontrolltöö	контрольная работа
kontrolör	контролёр
konts	каблук
kontsert	концерт
kontuur	контур
konverents	конференция
konverentsisaal	конференц-зал
konvoi	конвой
koobas	пещера
kood	КОД
koodlukk	кодовый замок
kook	пирожное
köök	кухня
köök	кухня (помещение)
köök	кухня(национальная)
kookospähkel	орех кокосовый
kool	школа
koolera	холера
kooli minema	идти в школу
koolibri	колибри
koolidirektor	директор школы
kooliõpilane	ШКОЛЬНИК
koolipink	парта
koolis käima	учиться (ходить в школу)
koolitüdruk	школьница
koolivaheaeg	каникулы
koolivaheajal olema	быть на каникулах
koolon	двоеточие
kooma	кома
koomas olema	быть в коме
köömned	тмин
koon	пасть
koonduslaager	концлагерь
koopaorav	сурок
koopiamasin	копировальный аппарат
koopiat tegema	делать копию
koor	кожура
koor	кора
koor	сливки
koor	хор
kõõrdsilmne	косоглазый
kõõrdsilmsus	косоглазие
koorima	чистить (картошку и т.п.)
koos	вместе
koos	с ... (с кем-л.)
koosolek	собрание
koosseis	кадры, штат
koostama	составлять (~ список)
koostööd tegema	сотрудничать
kootud müts	вязаная шапочка
kopeerima	скопировать
Kopenhaagen	Копенгаген
kopp	ковш
kopsupõletik	воспаление лёгких
koputa	стучи
koputama	стучать
koputama	стучать (в дверь)
koputus	стук
koputus	стук (в дверь)
koputus	стук (шум)
Koraan	Коран
korall	коралл
korallrahu	коралловый риф
kõrb	пустыня
kord	порядок (в комнате)
korda ajama	улаживать
korda ajama	урегулировать (конфликт)
korda tegema	приводить в порядок
korda tegema	убирать (~ квартиру)
korda tegema	убирать (наводить порядок)
kordama	повторять
korea	корейский
korealane	кореец
korealanna	кореянка
kõrge	высокий
kõrge	глубокий
kõrge palavik	высокая температура
kõrgem	высший
korgitser	штопор
kõrgliiga	высшая лига
Kõrgõzstan	Кыргызстан
kõrgus	высота
kõri	горло
koriander	кориандр
koristaja	уборщица
koristama	убирать (урожай)
korjama ära eksima	собирать (грибы, ягоды) заблудиться
kork	Пробка (электр.)
korporatsioon	корпорация
korralagedus	беспорядок
korraldama	организовывать
korraldama	устраивать (~ вечеринку)
korraldamine	организация (процесс)
korralik	аккуратный (работа и т.п.)
korrespondent	корреспондент
korruptsioon	коррупция
korrutama	умножать (матем.)
kõrs	колос
korter	квартира
kortsu minema	помяться (об одежде)
korv	корзина
kõrv	ухо
kõrvaklapid	наушники
kõrval	около (рядом)
kõrvaldama	устранять (препятствие)
kõrvalmaitse	привкус
kõrvalt	сбоку (со стороны)
kõrvarõngad	серьги
kõrvits	тыква
korvpall	баскетбол
korvpallur	баскетболист
kosmeetika	косметика
kosmiline	космический
kosmos	КОСМОС
kosmoselaev	космический корабль
kostitama	угощать
kotik	котик
kotkas	орёл
kotkas	СОКОЛ
kotlett	котлета
kott	мешок (сахара и т.п.)
kott	сумка
kõu	гром
kõva	твёрдый
kõva	твёрдый (не мягкий)
kõvaketas	жёсткий диск
kõvaketta mälumaht	объём жесткого диска
kõver	кривая (сущ.)
kõver	кривой
kraad	градус
kraadiklaas	градусник
kraadiklaas	термометр
kraaksuma	каркать
kraan	кран
kraana	строительный кран
kraanikauss	раковина
kraater	кратер
kraav	канава
kraav	кювет
krabi	краб
krae	воротник
krahv	граф
krambid	судороги
krediidikaart	кредитная карта
krediiti võtma	в кредит
Kreeka	Г реция
kreeka	греческий
kreeka pähkel	орех (грецкий)
kreeklane	грек
kreeklanna	гречанка
kreem	крем
kreemjas	кремовый
krematoorium	крематорий
kress	настурция
krevett	креветка
kriimustama	царапать
kriimustus	царапина
kriis	кризис
kriit	мел
kriitik	критик
kriitika	критика
kriminaalfilm	детектив
kriminaalne	криминальный
kriminull	детектив
kristall	кристалл
kristlane	христианин
kristlik	христианский
kristlus	Христианство
kritiseerima	критиковать
kriuks	скрип
kriuksuma	скрипеть
krohv	штукатурка
krohvima	штукатурить
krokodill	крокодил
krooks uma	квакать
kroon	корона
kruiis	круиз
krupjee	крупье
kruus	гравий
kruus	кружка
kruvi	винт
kruvi	шуруп
kruvikeeraja	отвёртка
Kuala Lumpur	Куала-Лумпур
kübar	котелок (шляпа)
kübar	шляпка (женская)
kuberner	губернатор
kuhu	куда
Kuhu?	Куда?
kuhugi	куда-то
Kui palju?	СКОЛЬКО? (неисчисл.)
Kui palju?	Сколько? (о цене)
kuid	но
kuidas	как
Kuidas?	Как?
kuiv	сухой
kuivatama	сушить
kuivatatud	сушёный
kukal	затылок
kukerpuu	барбарис
kukeseen	лисичка
kukk	петух
kukkuma	падать
kukutama	свергнуть
kukutamine	свержение
küla	деревня
külalisetendus	гастроли
külalistuba	гостиная
külastaja	посетитель
külastama	посещать
kuld	золото
kuldne	золотой
kuldnokk	скворец
kuldpulm	золотая свадьба
külg	бок
külg	сторона
külgkardinad	шторы
kulissid	кулисы
küljeklaas	боковое стекло
kull	ястреб
kulm	бровь
külm	холод
külm	холодный
külm vesi	холодная вода
külmalt	холодно
külmetuma	простудиться
külmetus	простуда
külmkapp	холодильник
külmrelv	холодное оружие
külmuma	замёрзнуть (о реке)
külmutatud	замороженный
külmutatud	замороженный (продукт)
külv	посев (действие)
külvama	сеять
külvik	сеялка
kumb	который
kumm	резина
kummardama	поклоняться
kummi-	резиновый
kumminui	резиновая дубинка
kummipuu	фикус
kummitus	привидение
kummut	комод
kümnes	десятый
kündma	пахать
küngas	холм
kuninganna	королева
kuningas	король
kuninglik	королевский
kuningriik	королевство
künnimaa	пашня
künnivares	грач
kunst	искусство
kunstlik	искусственный
kunstnik	художник
kuppel	купол
küpress	кипарис
Küpros	Кипр
küprose	кипрский
küproslane	киприот
küproslanna	киприотка
küps	зрелый (плод)
küpsis	печенье
kurat	Дьявол
kurat	чёрт
kuratlik	дьявольский
kurb	грустный
kurb	печальный
kurg	журавль
kuri	злой
kuristik	ущелье
kuritegu	преступление
kurjategija	преступник
kurjus	зло
kurk	огурец
kurnkopsik	дуршлаг
kursor	курсор
kurss	курс
kurss	курс (валют)
kursused	курсы
kursusekaaslane	однокурсник
kurt	глухой
kurttumm	глухонемой
kuru	перевал
kurv	поворот
kurv	поворот (место на дороге)
kurvastus	огорчение
kus	где
Kus?	Где?
kusi	моча
küsima	спрашивать
küsimärk	вопросительный знак
küsimus	вопрос
küsitlema	опрашивать
kuskil	где-то
kuskilt	откуда-нибудь
kuskilt	откуда-то
Kust?	Откуда?
kustunud vulkaan	потухший вулкан
kustutama	тушить
kustutama	тушить (пожар)
kustutama	удалять
kustutuskumm	ластик
kütma	топить печь
kutse	пригласительный билет
kutsikas	щенок
kutsuma	звать (на помощь и т.п.)
kutsuma	позвать
kutsuma	приглашать
kütt	охотник
küttimine	охота
kütus	горючее
kütus	топливо
kütus	топливо, горючее
kütusefilter	топливный фильтр
Kuu	Луна
kuu	месяц
kuu (kalendri)	месяц
kuu (taeva)	луна
kuu aega tagasi	месяц назад
kuu aja pärast	через месяц
Kuuba	Куба
kuuba	кубинский
kuubalane	кубинец
kuubalanna	кубинка
kuul	пуля
kuul	шар (в бильярде и т.п.)
kuul	ядро
kuulama	слушать
kuuli ajama	загнать шар
küülik	кролик
küülikukasvandus	крольчатник
küülikupoeg	крольчонок
kuulipilduja	пулемёт
kuullaager	подшипник
kuulma	слышать
kuulsus	слава (почёт)
kuuluma	принадлежать
kuulus	знаменитый
kuulus	известный
kuulutus	афиша
kuulutus	афиша (театральная)
kuum	горячий
kuum	горячий (напр. лоб)
kuum	жаркий
kuumus	жара
küünal	свеча
küünarnukk	локоть
küünarvars	предплечье
küünlajalg	подсвечник
kuup	куб
kuupäev	дата
kuupäev	число (день месяца)
kuupäevastatud	датироваться
kuupmeeter	кубический метр
kuur	сарай
kuus	шесть
küüs	ноготь
kuusk	ель
kuuskümmend	шестьдесят
küüslauk	чеснок
kuusteist	шестнадцать
kuut	конура
kuvar	дисплей
kuvar	монитор
Kuveit	Кувейт
kvartal	квартал
kvartett	квартет
kviitung	квитанция
laadija	грузчик
laadima	грузить
laadima	заряжать (оружие)
laadimisseade	зарядное устройство
laager	лагерь
läände	на запад
lääne-	западный
laanepüü	рябчик
läänes	на западе
lääs	запад
lääts	чечевица
laava	лава
labakindad	варежки
läbi	запад
läbi	через
läbi	через (о препятствии)
läbi jooksma	течь (протекать)
läbi peksma	избить
läbi põlema	перегореть (о лампочке)
läbi vaatama	рассмотреть (~ вопрос)
läbi vaatama	рассмотреть (вопрос и т.п.)
labidas	лопата
läbilõige	пересечение
läbiotsimine	обыск
läbipaistev	прозрачный
läbirääkimised	переговоры
läbirääkimisi pidama	вести переговоры
labor	лаборатория
labürint	лабиринт
lademed	залежи
ladu	склад (товары)
laenama	занимать (деньги)
laeng	заряд
laenutama	взять напрокат
laenutus	прокат
laev	корабль
laev	судно
laevaarst	судовой врач
laevaga	на корабле
laevasõidutee	фарватер
lagendik	поляна
lagi	потолок
laguun	лагуна
lähedal	близко
lähedal	рядом
lähedal	рядом (недалеко)
lähedale	недалеко (ехать, идти)
lähedane	ближний
lähedane	близкий
lähedane	близкий (недалёкий)
lähedane sugulane	близкий родственник
lahendama	решить (задачу)
lahendamine	решение (задачи)
lähetus	командировка
lähim	ближайший
lahing	бой
lahingumoon	боеприпасы
lahinguvarustus	доспехи
lähituled	ближний свет
laht	бухта
laht	залив
lahti keerama	откручивать
lahti olema	работать (о магазине)
lahti tegema	открывать (дверь и т.п.)
lahutama	развестись
lahutatud	разведённый
lahutus	развод
lai	широкий
laiali jagama	раздать (напр. листовки)
laine	волна
lainehari	гребень волны
laip	труп
laisk	ленивый
laiskus	лень
laiskvorst	лентяй
laius	ширина
laius	широта
lakk	грива
lakk	лак (для пола и т.п.)
lakkima	покрывать лаком
lamama	лежать (о предмете)
lamamistool	шезлонг
lambakasvatus	овцеводство
lambakoer	овчарка
lambaliha	баранина
lambatall	ягнёнок
lämbuma	задохнуться
lame	плоский
lammas	овца
lamp	лампа
lamp	светильник
lamp	фонарь
langema	опадать (о листьях)
langevari	парашют
langevarjur	парашютист
langust	лангуст
Laos	Лаос
laostuma	разориться
laostumine	разорение
lapp	тряпка
laps	ребёнок
lapsed	дети
lapsehoidja	няня
lapselaps	внук
lapselaps	внучка
lapselapsed	внуки
lapsendama	удочерить
lapsendama	усыновить
lärm	шум
lärmakas	шумный
lärmama	шуметь
laser	лазер
lask	выстрел
laskeava	бойница
laskesuusatamine	биатлон
laskma pildistada	фотографироваться
laskmine	стрельба
laskuma	спускаться
laskur	стрелок
laste-	детский
lastearst	педиатр
latern	фара
laternad	фары (свет)
laternapost	фонарный столб
Läti	Латвия
läti	латышский
latikas	лещ
lätlane	латыш
lätlanna	латышка
latv	верхушка (дерева)
laualamp	настольная лампа
lauatennis	настольный теннис
laud	СТОЛ
lauda kinni panema	забронировать столик
laul	песня
laulatussõrmus	обручальное кольцо
laulja	певец
lauljanna	певица
laulma	петь
laulmine	пение
laulurästas	певчий дрозд
laup	лоб
laupäev	суббота
laupäev	субота
lausmaa	равнина
lava	сцена
lavastaja	режиссёр
lävi	порог
laviin	лавина
Leedu	Литва
leedu	литовский
leedulane	литовец
leedulanna	литовка
Leena	Лена
leetrid	корь
leevike	снегирь
legend	легенда
lehekülg	страница
lehestik	листва
lehis	лиственница
lehitsema	листать
lehm	корова
lehmalaut	коровник
leht	лист
leht	лист (бумаги и т.п.)
leht	лист(растения)
lehtede langemine	листопад
lehtpuu	лиственное
lehvik	веер
lehvitama	махать (крыльями)
lehvitama	махать (рукой)
leib	хлеб
leid	находка
leidma	найти
leidma	находить
lein	траур
leitnant	лейтенант
leiukoht	месторождение
leiutaja	изобретатель
leivapood	булочная
leke	течь (утечка)
lend	полёт
lendama	летать
lendama	лететь
lendav taldrik	летающая тарелка
lendleht	листовка
lendur	лётчик
lendurimüts	шлем
lennujaam	аэропорт
lennuk	самолёт
lennukiga	самолётом
lennukikomandör	командир корабля
lennukipilet	авиабилет
lennukisse minek	выход (на посадку)
lennukissemineku talong	посадочный талон
lennukitrepp	трап (к самолету)
lennukompanii	авиакомпания
leopard	леопард
lepatriinu	божья коровка
leping	договор
lepingu objekt	предмет договора
lepp	ольха
leppima	мириться
lesima	лежать (о человеке)
lesk	вдова
lesk	вдовец
lest	камбала
lestad	ласты
lett	прилавок
levitama	распространять (~ листовки)
levitama	распространять (запах)
libe tee	скользкая дорога
liberaal	либерал
liberaalne	либеральный
liblikas	бабочка
liblikas	мотылёк
Liechtenstein	Лихтенштейн
lift	лифт
liftiga sõitma	ехать на лифте
ligi tulema	подходить (приближаться)
ligikaudne	приблизительный
ligikaudu	приблизительно
liha	МЯСО
lihakarn	мясная лавка
lihas	мышца
lihtne	лёгкий (простой)
lihtne	простой
lihtsustama	упрощать
lihunik	мясник
Liibanon	Ливан
liibanoni	ливанский
liibanonlane	ливанец
liibanonlanna	ливанка
Liibüa	Ливия
liider	лидер
liidriks olema	лидировать
liiga	СЛИШКОМ
liigendnuga	складной нож
liiklus	уличное движение
liikluseeskirjad	правила дорожного
liiklusmärk	знак
liiklusõnnetus	дорожное происшествие
liiklussõlm	развязка
liiklusummik	пробка (на дороге)
liikumatu	неподвижный
liikumatu	неподвижный (взгляд)
liilia	лилия
liim	клей
liin on kinni	занятый (о линии)
liinilaev	лайнер
liir	итальянская лира
liit	союз (группа фирм)
liiter	литр
liiv	песок
liivakell	часы песочные
liivapaber	наждачная бумага
lilla	лиловый
lillekimp	букет
lillepeenar	клумба
lillkapsas	цветная капуста
Limpopo	Лимпопо
limusiin	лимузин
lina	лён
linane	из льна
lind	птица
linn	город
linnalähedane	пригородный
linnalähedane asula	пригород
linnaosa valitsus	префектура
linnapea	мэр
linnaplaan	план города
linnatransport	городской транспорт
linnavalitsus	мэрия
linnuparv	стая (птиц)
linnupoeg	птенец
Linnutee	Млечный Путь
lintnuudlid	лапша
lipp	знамя
lipp	ферзь
lipp	флаг
lips	галстук
lisa	приложение (к договору)
lisajõgi	приток
lisajõud	подкрепление
lisama	добавлять
lisand	гарнир
Lissabon	Лиссабон
lita	блядь
litsents	лицензия
litter	шайба
lõbus	весёлый
lõbusõit	прогулка (поездка)
lõbustama	развлекать
lõbutsema	веселиться
lodi	баржа
loeng	лекция
logiraamat	судовой журнал
lõgismadu	гремучая змея
logotüüp	логотип
lõhe	лосось
lõhkeaine	взрывчатка
lõhki minema	лопнуть
lõhn	запах
lõhnama	пахнуть
loik	лужа (на полу и т.п.)
lõik	абзац
lõikama	резать
lõikama	срезать
lõikehaav	порез
Loire	Луара
lõke	костёр
lõks	ловушка
loll	дурацк
lomp	лужа (на улице)
London	Лондон
lonkama	хромать
loodus	природа
looduskaitse	охранять (природу)
looduskaitseala	заповедник
loodusvarad	природные ресурсы
loojang	закат
loojuma	сесть
löök	удар
lõoke	жаворонок
löökfilm	боевик
loom	животное
looma	создать
looma	сочинить (музыку)
looma	сочинить (стихи, песню)
lööma	бить (ударять)
lööma	забить
lööma	ударить
loomaaed	зоопарк
loomaarst	ветеринар
loomakasvataja	животновод
loomakasvatus	животноводство
loomalaps	детёныш
loomaliha	говядина
loomi pidama	разводить (животных)
loorber	лавровый лист
loosung	лозунг
lootma	надеяться
lootus	надежда
loož	ложа
lõpetama	заканчивать
lõpp	конец
lõpp	окончание
lõpp	окончание (конец)
lõpp-peatus	конечная остановка
lõpused	жабры
Los Angeles	Лос-Анджелес
loss	дворец
loss	замок
loterii	лотерея
lõualuu	челюсть
lõuend	холст
lõug	подбородок
lõuna	обед
lõuna	юг
lõuna-	южный
Lõuna-Aafrika Vabariik	ЮАР
Lõuna-Ameerika	Южная Америка
Lõuna-Korea	Южная Корея
lõunas	на юге
lõunasse	на юг
lõunat sööma	обедать
lõunavaheaeg	перерыв на обед
Lõvi	Лев
lõvi (isane)	лев
